year,state_norm,district_norm,metric,value,state,district
2010,andhra pradesh,rajahmundry,ipc,6288.0,ANDHRA PRADESH,RAJAHMUNDRY
2010,andhra pradesh,rajahmundry,women,208.0,ANDHRA PRADESH,RAJAHMUNDRY
2010,andhra pradesh,ranga reddy,children,10.0,ANDHRA PRADESH,RANGA REDDY
2010,andhra pradesh,ranga reddy,ipc,41037.0,ANDHRA PRADESH,RANGA REDDY
2010,andhra pradesh,ranga reddy,women,197.0,ANDHRA PRADESH,RANGA REDDY
2010,andhra pradesh,secunderabad rly,children,0.0,ANDHRA PRADESH,SECUNDERABAD RLY.
2010,andhra pradesh,secunderabad rly,ipc,6163.0,ANDHRA PRADESH,SECUNDERABAD RLY.
2010,andhra pradesh,secunderabad rly,women,6.0,ANDHRA PRADESH,SECUNDERABAD RLY.
2010,andhra pradesh,srikakulam,children,16.0,ANDHRA PRADESH,SRIKAKULAM
2010,andhra pradesh,srikakulam,ipc,40293.0,ANDHRA PRADESH,SRIKAKULAM
2010,andhra pradesh,srikakulam,women,489.0,ANDHRA PRADESH,SRIKAKULAM
2010,andhra pradesh,tirupathi urban,children,21.0,ANDHRA PRADESH,TIRUPATHI URBAN
2010,andhra pradesh,tirupathi urban,ipc,8164.0,ANDHRA PRADESH,TIRUPATHI URBAN
2010,andhra pradesh,tirupathi urban,women,178.0,ANDHRA PRADESH,TIRUPATHI URBAN
2010,andhra pradesh,total,children,1823.0,ANDHRA PRADESH,TOTAL
2010,andhra pradesh,total,ipc,2018981.0,ANDHRA PRADESH,TOTAL
2010,andhra pradesh,total,women,24757.0,ANDHRA PRADESH,TOTAL
2010,andhra pradesh,vijayawada,ipc,39350.0,ANDHRA PRADESH,VIJAYAWADA
2010,andhra pradesh,vijayawada city,children,188.0,ANDHRA PRADESH,VIJAYAWADA CITY
2010,andhra pradesh,vijayawada city,ipc,42500.0,ANDHRA PRADESH,VIJAYAWADA CITY
2010,andhra pradesh,vijayawada city,women,1124.0,ANDHRA PRADESH,VIJAYAWADA CITY
2010,andhra pradesh,vijayawada rly,children,1.0,ANDHRA PRADESH,VIJAYAWADA RLY.
2010,andhra pradesh,vijayawada rly,ipc,5216.0,ANDHRA PRADESH,VIJAYAWADA RLY.
2010,andhra pradesh,vijayawada rly,women,14.0,ANDHRA PRADESH,VIJAYAWADA RLY.
2010,andhra pradesh,visakha rural,children,9.0,ANDHRA PRADESH,VISAKHA RURAL
2010,andhra pradesh,visakha rural,ipc,35912.0,ANDHRA PRADESH,VISAKHA RURAL
2010,andhra pradesh,visakha rural,women,428.0,ANDHRA PRADESH,VISAKHA RURAL
2010,andhra pradesh,visakhapatnam,children,9.0,ANDHRA PRADESH,VISAKHAPATNAM
2010,andhra pradesh,visakhapatnam,ipc,55171.0,ANDHRA PRADESH,VISAKHAPATNAM
2010,andhra pradesh,visakhapatnam,women,592.0,ANDHRA PRADESH,VISAKHAPATNAM
2010,andhra pradesh,vizianagaram,children,94.0,ANDHRA PRADESH,VIZIANAGARAM
2010,andhra pradesh,vizianagaram,ipc,37750.0,ANDHRA PRADESH,VIZIANAGARAM
2010,andhra pradesh,vizianagaram,women,559.0,ANDHRA PRADESH,VIZIANAGARAM
2010,andhra pradesh,warangal,children,6.0,ANDHRA PRADESH,WARANGAL
2010,andhra pradesh,warangal,ipc,75347.0,ANDHRA PRADESH,WARANGAL
2010,andhra pradesh,warangal,women,232.0,ANDHRA PRADESH,WARANGAL
2010,andhra pradesh,warangal urban,children,1.0,ANDHRA PRADESH,WARANGAL URBAN
2010,andhra pradesh,warangal urban,ipc,9896.0,ANDHRA PRADESH,WARANGAL URBAN
2010,andhra pradesh,warangal urban,women,544.0,ANDHRA PRADESH,WARANGAL URBAN
2010,andhra pradesh,west godavari,children,62.0,ANDHRA PRADESH,WEST GODAVARI
2010,andhra pradesh,west godavari,ipc,90029.0,ANDHRA PRADESH,WEST GODAVARI
2010,andhra pradesh,west godavari,women,1638.0,ANDHRA PRADESH,WEST GODAVARI
2010,arunachal pradesh,anjaw,children,0.0,ARUNACHAL PRADESH,ANJAW
2010,arunachal pradesh,anjaw,ipc,85.0,ARUNACHAL PRADESH,ANJAW
2010,arunachal pradesh,anjaw,women,3.0,ARUNACHAL PRADESH,ANJAW
2010,arunachal pradesh,changlang,children,0.0,ARUNACHAL PRADESH,CHANGLANG
2010,arunachal pradesh,changlang,ipc,2201.0,ARUNACHAL PRADESH,CHANGLANG
2010,arunachal pradesh,changlang,women,19.0,ARUNACHAL PRADESH,CHANGLANG
2010,arunachal pradesh,dibang valley,children,2.0,ARUNACHAL PRADESH,DIBANG VALLEY
2010,arunachal pradesh,dibang valley,ipc,1444.0,ARUNACHAL PRADESH,DIBANG VALLEY
2010,arunachal pradesh,dibang valley,women,8.0,ARUNACHAL PRADESH,DIBANG VALLEY
2010,arunachal pradesh,k kumey,children,0.0,ARUNACHAL PRADESH,K/KUMEY
2010,arunachal pradesh,k kumey,ipc,507.0,ARUNACHAL PRADESH,K/KUMEY
2010,arunachal pradesh,k kumey,women,1.0,ARUNACHAL PRADESH,K/KUMEY
2010,arunachal pradesh,kameng east,children,1.0,ARUNACHAL PRADESH,KAMENG EAST
2010,arunachal pradesh,kameng east,ipc,1481.0,ARUNACHAL PRADESH,KAMENG EAST
2010,arunachal pradesh,kameng east,women,6.0,ARUNACHAL PRADESH,KAMENG EAST
2010,arunachal pradesh,kameng west,children,0.0,ARUNACHAL PRADESH,KAMENG WEST
2010,arunachal pradesh,kameng west,ipc,1297.0,ARUNACHAL PRADESH,KAMENG WEST
2010,arunachal pradesh,kameng west,women,8.0,ARUNACHAL PRADESH,KAMENG WEST
2010,arunachal pradesh,lohit,children,4.0,ARUNACHAL PRADESH,LOHIT
2010,arunachal pradesh,lohit,ipc,2154.0,ARUNACHAL PRADESH,LOHIT
2010,arunachal pradesh,lohit,women,19.0,ARUNACHAL PRADESH,LOHIT
2010,arunachal pradesh,papum pare,children,6.0,ARUNACHAL PRADESH,PAPUM PARE
2010,arunachal pradesh,papum pare,ipc,5853.0,ARUNACHAL PRADESH,PAPUM PARE
2010,arunachal pradesh,papum pare,women,27.0,ARUNACHAL PRADESH,PAPUM PARE
2010,arunachal pradesh,rural,children,0.0,ARUNACHAL PRADESH,RURAL
2010,arunachal pradesh,rural,ipc,298.0,ARUNACHAL PRADESH,RURAL
2010,arunachal pradesh,rural,women,10.0,ARUNACHAL PRADESH,RURAL
2010,arunachal pradesh,siang east,children,7.0,ARUNACHAL PRADESH,SIANG EAST
2010,arunachal pradesh,siang east,ipc,2874.0,ARUNACHAL PRADESH,SIANG EAST
2010,arunachal pradesh,siang east,women,21.0,ARUNACHAL PRADESH,SIANG EAST
2010,arunachal pradesh,siang upper,children,0.0,ARUNACHAL PRADESH,SIANG UPPER
2010,arunachal pradesh,siang upper,ipc,716.0,ARUNACHAL PRADESH,SIANG UPPER
2010,arunachal pradesh,siang upper,women,4.0,ARUNACHAL PRADESH,SIANG UPPER
2010,arunachal pradesh,siang west,children,0.0,ARUNACHAL PRADESH,SIANG WEST
2010,arunachal pradesh,siang west,ipc,3160.0,ARUNACHAL PRADESH,SIANG WEST
2010,arunachal pradesh,siang west,women,34.0,ARUNACHAL PRADESH,SIANG WEST
2010,arunachal pradesh,subansiri lower,children,0.0,ARUNACHAL PRADESH,SUBANSIRI LOWER
2010,arunachal pradesh,subansiri lower,ipc,1460.0,ARUNACHAL PRADESH,SUBANSIRI LOWER
2010,arunachal pradesh,subansiri lower,women,6.0,ARUNACHAL PRADESH,SUBANSIRI LOWER
2010,arunachal pradesh,subansiri upper,children,0.0,ARUNACHAL PRADESH,SUBANSIRI UPPER
2010,arunachal pradesh,subansiri upper,ipc,1767.0,ARUNACHAL PRADESH,SUBANSIRI UPPER
2010,arunachal pradesh,subansiri upper,women,19.0,ARUNACHAL PRADESH,SUBANSIRI UPPER
2010,arunachal pradesh,tawang,children,0.0,ARUNACHAL PRADESH,TAWANG
2010,arunachal pradesh,tawang,ipc,580.0,ARUNACHAL PRADESH,TAWANG
2010,arunachal pradesh,tawang,women,2.0,ARUNACHAL PRADESH,TAWANG
2010,arunachal pradesh,tirap,children,0.0,ARUNACHAL PRADESH,TIRAP
2010,arunachal pradesh,tirap,ipc,1627.0,ARUNACHAL PRADESH,TIRAP
