year,state_norm,district_norm,children,cyber,ipc,sll,women,ipc_log,ipc_state_pct,sll_log,sll_state_pct,women_log,women_state_pct,children_log,children_state_pct,cyber_log,cyber_state_pct,ipc_prev,ipc_growth,ipc_gap_years,women_prev,women_growth,women_gap_years,children_prev,children_growth,children_gap_years,cyber_prev,cyber_growth,cyber_gap_years,severity,risk_class,target_severity,target_year,d_key,s_key
2020,a n islands,nicobar,22.0,0.0,12.0,154.0,25.0,2.5649493574615367,0.25,5.043425116919247,0.25,3.258096538021482,0.25,3.1354942159291497,0.25,0.0,0.25,31.0,-0.6129032258064516,6.0,2.0,11.5,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.25,low,0.325,2022.0,nicobar,andaman and nicobar islands
2022,a n islands,nicobar,27.0,1.0,17.0,155.0,32.0,2.8903717578961645,0.25,5.049856007249537,0.25,3.49650756146648,0.5,3.332204510175204,0.5,0.6931471805599453,0.25,12.0,0.4166666666666667,2.0,25.0,0.28,2.0,22.0,0.2272727272727272,2.0,0.0,0.0,2.0,0.325,low,0.25,2023.0,nicobar,andaman and nicobar islands
2023,a n islands,nicobar,29.0,5.0,11.0,154.0,31.0,2.4849066497880004,0.25,5.043425116919247,0.25,3.4657359027997265,0.25,3.4011973816621555,0.25,1.791759469228055,0.25,17.0,-0.3529411764705882,1.0,32.0,-0.03125,1.0,27.0,0.074074074074074,1.0,1.0,4.0,1.0,0.25,low,0.25,2024.0,nicobar,andaman and nicobar islands
2024,a n islands,nicobar,28.0,1.0,17.0,128.0,29.0,2.8903717578961645,0.25,4.859812404361672,0.25,3.4011973816621555,0.25,3.367295829986474,0.25,0.6931471805599453,0.25,11.0,0.5454545454545454,1.0,31.0,-0.064516129032258,1.0,29.0,-0.0344827586206896,1.0,5.0,-0.8,1.0,0.25,low,,,nicobar,andaman and nicobar islands
2010,a n islands,north,0.0,0.0,115.0,0.0,0.0,4.7535901911063645,0.2857142857142857,0.0,0.5714285714285714,0.0,0.3571428571428571,0.0,0.4285714285714285,0.0,0.5714285714285714,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.3857142857142857,low,0.3857142857142857,2011.0,north,andaman and nicobar islands
2011,a n islands,north,0.0,0.0,115.0,0.0,0.0,4.7535901911063645,0.2857142857142857,0.0,0.5714285714285714,0.0,0.3571428571428571,0.0,0.4285714285714285,0.0,0.5714285714285714,115.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3857142857142857,low,0.4857142857142857,2012.0,north,andaman and nicobar islands
2012,a n islands,north,7.0,0.0,115.0,0.0,9.0,4.7535901911063645,0.2857142857142857,0.0,0.5714285714285714,2.302585092994046,0.7142857142857143,2.079441541679836,0.7142857142857143,0.0,0.5714285714285714,115.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4857142857142857,medium,0.6000000000000001,2013.0,north,andaman and nicobar islands
2013,a n islands,north,15.0,0.0,156.0,0.0,26.0,5.056245805348308,0.6,0.0,0.6,3.295836866004329,0.6,2.772588722239781,0.6,0.0,0.6,115.0,0.3565217391304348,1.0,9.0,1.8888888888888888,1.0,7.0,1.1428571428571428,1.0,0.0,0.0,1.0,0.6000000000000001,medium,,,north,andaman and nicobar islands
2014,a n islands,north middle andaman,0.0,0.0,159.0,0.0,45.0,5.075173815233827,0.5,0.0,0.625,3.828641396489095,0.5,0.0,0.625,0.0,0.625,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.54375,medium,0.5,2020.0,north middle andaman,andaman and nicobar islands
2020,a n islands,north middle andaman,31.0,3.0,75.0,312.0,46.0,4.330733340286331,0.5,5.746203190540153,0.5,3.8501476017100575,0.5,3.4657359027997265,0.5,1.3862943611198906,0.5,159.0,-0.5283018867924528,6.0,45.0,0.0222222222222222,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.5,medium,0.425,2022.0,north middle andaman,andaman and nicobar islands
2022,a n islands,north middle andaman,22.0,2.0,76.0,300.0,28.0,4.343805421853684,0.5,5.707110264748875,0.5,3.367295829986474,0.25,3.1354942159291497,0.25,1.0986122886681098,0.5,75.0,0.0133333333333333,2.0,46.0,-0.391304347826087,2.0,31.0,-0.2903225806451613,2.0,3.0,-0.3333333333333333,2.0,0.425,medium,0.5,2023.0,north middle andaman,andaman and nicobar islands
2023,a n islands,north middle andaman,41.0,11.0,88.0,398.0,49.0,4.48863636973214,0.5,5.988961416889864,0.5,3.912023005428146,0.5,3.737669618283368,0.5,2.4849066497880004,0.5,76.0,0.1578947368421052,1.0,28.0,0.75,1.0,22.0,0.8636363636363636,1.0,2.0,4.5,1.0,0.5,medium,0.5,2024.0,north middle andaman,andaman and nicobar islands
2024,a n islands,north middle andaman,35.0,10.0,110.0,416.0,39.0,4.709530201312334,0.5,6.0330862217988015,0.5,3.688879454113936,0.5,3.58351893845611,0.5,2.3978952727983707,0.5,88.0,0.25,1.0,49.0,-0.2040816326530612,1.0,41.0,-0.1463414634146341,1.0,11.0,-0.0909090909090909,1.0,0.5,medium,,,north middle andaman,andaman and nicobar islands
2010,a n islands,south,0.0,0.0,544.0,0.0,0.0,6.300785794663244,0.5714285714285714,0.0,0.5714285714285714,0.0,0.3571428571428571,0.0,0.4285714285714285,0.0,0.5714285714285714,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.5142857142857142,medium,0.5142857142857142,2011.0,south,andaman and nicobar islands
