year,state_norm,district_norm,children,cyber,ipc,sll,women,ipc_log,ipc_state_pct,sll_log,sll_state_pct,women_log,women_state_pct,children_log,children_state_pct,cyber_log,cyber_state_pct,ipc_prev,ipc_growth,ipc_gap_years,women_prev,women_growth,women_gap_years,children_prev,children_growth,children_gap_years,cyber_prev,cyber_growth,cyber_gap_years,severity,risk_class,target_severity,target_year
2024,a n islands,nicobar,28.0,1.0,17.0,128.0,29.0,2.8903717578961645,0.25,4.859812404361672,0.25,3.4011973816621555,0.25,3.367295829986474,0.25,0.6931471805599453,0.25,11.0,0.5454545454545454,1.0,31.0,-0.06451612903225806,1.0,29.0,-0.034482758620689655,1.0,5.0,-0.8,1.0,0.25,low,,
2010,a n islands,north,0.0,0.0,115.0,0.0,0.0,4.7535901911063645,0.2857142857142857,0.0,0.5714285714285714,0.0,0.35714285714285715,0.0,0.42857142857142855,0.0,0.5714285714285714,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.38571428571428573,low,0.38571428571428573,2011.0
2011,a n islands,north,0.0,0.0,115.0,0.0,0.0,4.7535901911063645,0.2857142857142857,0.0,0.5714285714285714,0.0,0.35714285714285715,0.0,0.42857142857142855,0.0,0.5714285714285714,115.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.38571428571428573,low,0.48571428571428577,2012.0
2012,a n islands,north,7.0,0.0,115.0,0.0,9.0,4.7535901911063645,0.2857142857142857,0.0,0.5714285714285714,2.302585092994046,0.7142857142857143,2.0794415416798357,0.7142857142857143,0.0,0.5714285714285714,115.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.48571428571428577,medium,0.6000000000000001,2013.0
2013,a n islands,north,15.0,0.0,156.0,0.0,26.0,5.056245805348308,0.6,0.0,0.6,3.295836866004329,0.6,2.772588722239781,0.6,0.0,0.6,115.0,0.3565217391304348,1.0,9.0,1.8888888888888888,1.0,7.0,1.1428571428571428,1.0,0.0,0.0,1.0,0.6000000000000001,medium,,
2014,a n islands,north middle andaman,0.0,0.0,159.0,0.0,45.0,5.075173815233827,0.5,0.0,0.625,3.828641396489095,0.5,0.0,0.625,0.0,0.625,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.54375,medium,0.5,2020.0
2020,a n islands,north middle andaman,31.0,3.0,75.0,312.0,46.0,4.330733340286331,0.5,5.746203190540153,0.5,3.8501476017100584,0.5,3.4657359027997265,0.5,1.3862943611198906,0.5,159.0,-0.5283018867924528,6.0,45.0,0.022222222222222223,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.5,medium,0.42500000000000004,2022.0
2022,a n islands,north middle andaman,22.0,2.0,76.0,300.0,28.0,4.343805421853684,0.5,5.707110264748875,0.5,3.367295829986474,0.25,3.1354942159291497,0.25,1.0986122886681098,0.5,75.0,0.013333333333333334,2.0,46.0,-0.391304347826087,2.0,31.0,-0.2903225806451613,2.0,3.0,-0.3333333333333333,2.0,0.42500000000000004,medium,0.5,2023.0
2023,a n islands,north middle andaman,41.0,11.0,88.0,398.0,49.0,4.48863636973214,0.5,5.988961416889864,0.5,3.912023005428146,0.5,3.7376696182833684,0.5,2.4849066497880004,0.5,76.0,0.15789473684210525,1.0,28.0,0.75,1.0,22.0,0.8636363636363636,1.0,2.0,4.5,1.0,0.5,medium,0.5,2024.0
2024,a n islands,north middle andaman,35.0,10.0,110.0,416.0,39.0,4.709530201312334,0.5,6.0330862217988015,0.5,3.6888794541139363,0.5,3.58351893845611,0.5,2.3978952727983707,0.5,88.0,0.25,1.0,49.0,-0.20408163265306123,1.0,41.0,-0.14634146341463414,1.0,11.0,-0.09090909090909091,1.0,0.5,medium,,
2010,a n islands,south,0.0,0.0,544.0,0.0,0.0,6.300785794663244,0.5714285714285714,0.0,0.5714285714285714,0.0,0.35714285714285715,0.0,0.42857142857142855,0.0,0.5714285714285714,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.5142857142857142,medium,0.5142857142857142,2011.0
2011,a n islands,south,0.0,0.0,544.0,0.0,0.0,6.300785794663244,0.5714285714285714,0.0,0.5714285714285714,0.0,0.35714285714285715,0.0,0.42857142857142855,0.0,0.5714285714285714,544.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5142857142857142,medium,0.6571428571428571,2012.0
2012,a n islands,south,19.0,0.0,544.0,0.0,36.0,6.300785794663244,0.5714285714285714,0.0,0.5714285714285714,3.6109179126442243,0.8571428571428571,2.995732273553991,0.8571428571428571,0.0,0.5714285714285714,544.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6571428571428571,medium,0.75,2013.0
